CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;Non-Critical_Error_Target_Plan;CDR_DTR_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;Critical_Error_Target_Plan;BurnRate_Planned_S0;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;Range_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;0.0;2400.0;0.0;0.0;0.0;0.0;9500.0;0.0;0.0;0.0286;1.41;0.0;1.33;0.52;3.52;0.0;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.0;1.0;0.3274;7150.0;5345.0;6.78;0.0;
1.0;0.0;2400.0;0.0;0.0;0.0;0.0;9500.0;0.0;0.0;0.0286;1.41;0.0;1.33;0.52;3.52;0.0;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.0;1.0;0.3274;7150.0;5345.0;6.78;0.0;
1.0;0.139;2400.0948;0.335;0.0;0.139;0.0;9500.3548;0.0;0.0;0.02860151;1.41;0.0135;1.33;0.52;3.52;0.13;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.11;1.0;0.3274;7150.26;5345.0;6.78;0.33;
1.0;0.278;2400.1895999999997;0.67;0.0;0.278;0.0;9500.709599999998;0.0;0.0;0.02860302;1.41;0.027;1.33;0.52;3.52;0.26;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.219999999999999;1.0;0.3274;7150.52;5345.0;6.78;0.66;
1.0;0.41700000000000004;2400.2843999999996;1.0050000000000001;0.0;0.41700000000000004;0.0;9501.064399999997;0.0;0.0;0.02860453;1.41;0.0405;1.33;0.52;3.52;0.39;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.329999999999998;1.0;0.3274;7150.780000000001;5345.0;6.78;0.99;
1.0;0.556;2400.3791999999994;1.34;0.0;0.556;0.0;9501.419199999997;0.0;0.0;0.02860604;1.41;0.054;1.33;0.52;3.52;0.52;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.439999999999998;1.0;0.3274;7151.040000000001;5345.0;6.78;1.32;
1.0;0.6950000000000001;2400.4739999999993;1.675;0.0;0.6950000000000001;0.0;9501.773999999996;0.0;0.0;0.02860755;1.41;0.0675;1.33;0.52;3.52;0.65;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.549999999999997;1.0;0.3274;7151.300000000001;5345.0;6.78;1.6500000000000001;
1.0;0.8340000000000001;2400.568799999999;2.0100000000000002;0.0;0.8340000000000001;0.0;9502.128799999995;0.0;0.0;0.02860906;1.41;0.081;1.33;0.52;3.52;0.78;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.659999999999997;1.0;0.3274;7151.560000000001;5345.0;6.78;1.9800000000000002;
1.0;0.9730000000000001;2400.663599999999;2.345;0.0;0.9730000000000001;0.0;9502.483599999994;0.0;0.0;0.02861057;1.41;0.0945;1.33;0.52;3.52;0.91;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.769999999999996;1.0;0.3274;7151.8200000000015;5345.0;6.78;2.31;
1.0;1.112;2400.758399999999;2.68;0.0;1.112;0.0;9502.838399999993;0.0;0.0;0.028612079999999998;1.41;0.108;1.33;0.52;3.52;1.04;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.879999999999995;1.0;0.3274;7152.080000000002;5345.0;6.78;2.64;
1.0;1.2510000000000001;2400.8531999999987;3.015;0.0;1.2510000000000001;0.0;9503.193199999992;0.0;0.0;0.028613589999999998;1.41;0.1215;1.33;0.52;3.52;1.17;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;15.989999999999995;1.0;0.3274;7152.340000000002;5345.0;6.78;2.97;
1.0;1.3900000000000001;2400.9479999999985;3.35;0.0;1.3900000000000001;0.0;9503.547999999992;0.0;0.0;0.028615099999999997;1.41;0.135;1.33;0.52;3.52;1.2999999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.099999999999994;1.0;0.3274;7152.600000000002;5345.0;6.78;3.3000000000000003;
1.0;1.5290000000000001;2401.0427999999984;3.685;0.0;1.5290000000000001;0.0;9503.90279999999;0.0;0.0;0.028616609999999997;1.41;0.14850000000000002;1.33;0.52;3.52;1.4299999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.209999999999994;1.0;0.3274;7152.860000000002;5345.0;6.78;3.6300000000000003;
1.0;1.6680000000000001;2401.137599999998;4.0200000000000005;0.0;1.6680000000000001;0.0;9504.25759999999;0.0;0.0;0.028618119999999997;1.41;0.16200000000000003;1.33;0.52;3.52;1.5599999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.319999999999993;1.0;0.3274;7153.120000000003;5345.0;6.78;3.9600000000000004;
1.0;1.8070000000000002;2401.232399999998;4.355;0.0;1.8070000000000002;0.0;9504.612399999989;0.0;0.0;0.028619629999999997;1.41;0.17550000000000004;1.33;0.52;3.52;1.6899999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.429999999999993;1.0;0.3274;7153.380000000003;5345.0;6.78;4.29;
1.0;1.9460000000000002;2401.327199999998;4.69;0.0;1.9460000000000002;0.0;9504.967199999988;0.0;0.0;0.028621139999999996;1.41;0.18900000000000006;1.33;0.52;3.52;1.8199999999999994;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.539999999999992;1.0;0.3274;7153.640000000003;5345.0;6.78;4.62;
1.0;2.085;2401.4219999999978;5.025;0.0;2.085;0.0;9505.321999999987;0.0;0.0;0.028622649999999996;1.41;0.20250000000000007;1.33;0.52;3.52;1.9499999999999993;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.64999999999999;1.0;0.3274;7153.900000000003;5345.0;6.78;4.95;
1.0;2.224;2401.5167999999976;5.36;0.0;2.224;0.0;9505.676799999987;0.0;0.0;0.028624159999999996;1.41;0.21600000000000008;1.33;0.52;3.52;2.079999999999999;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.75999999999999;1.0;0.3274;7154.1600000000035;5345.0;6.78;5.28;
1.0;2.3630000000000004;2401.6115999999975;5.695;0.0;2.3630000000000004;0.0;9506.031599999986;0.0;0.0;0.028625669999999995;1.41;0.2295000000000001;1.33;0.52;3.52;2.209999999999999;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.86999999999999;1.0;0.3274;7154.420000000004;5345.0;6.78;5.61;
1.0;2.5020000000000007;2401.7063999999973;6.03;0.0;2.5020000000000007;0.0;9506.386399999985;0.0;0.0;0.028627179999999995;1.41;0.2430000000000001;1.33;0.52;3.52;2.339999999999999;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;16.97999999999999;1.0;0.3274;7154.680000000004;5345.0;6.78;5.94;
1.0;2.641000000000001;2401.801199999997;6.365;0.0;2.641000000000001;0.0;9506.741199999984;0.0;0.0;0.028628689999999995;1.41;0.2565000000000001;1.33;0.52;3.52;2.469999999999999;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.08999999999999;1.0;0.3274;7154.940000000004;5345.0;6.78;6.2700000000000005;
1.0;2.780000000000001;2401.895999999997;6.7;0.0;2.780000000000001;0.0;9507.095999999983;0.0;0.0;0.028630199999999995;1.41;0.27000000000000013;1.33;0.52;3.52;2.5999999999999988;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.19999999999999;1.0;0.3274;7155.200000000004;5345.0;6.78;6.6000000000000005;
1.0;2.9190000000000014;2401.990799999997;7.035;0.0;2.9190000000000014;0.0;9507.450799999982;0.0;0.0;0.028631709999999994;1.41;0.28350000000000014;1.33;0.52;3.52;2.7299999999999986;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.309999999999988;1.0;0.3274;7155.460000000005;5345.0;6.78;6.930000000000001;
1.0;3.0580000000000016;2402.0855999999967;7.37;0.0;3.0580000000000016;0.0;9507.805599999981;0.0;0.0;0.028633219999999994;1.41;0.29700000000000015;1.33;0.52;3.52;2.8599999999999985;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.419999999999987;1.0;0.3274;7155.720000000005;5345.0;6.78;7.260000000000001;
